population,gdp,clean_cons_per_capita,clean_consumption,clean_share_energy,fossil_cons_per_capita,fossil_consumption,fossil_share_energy,electricity_demand,energy_per_gdp
148391136.0,400000000000.0,14.56,2.16,0.863,1673.78,248.374,99.136,38.49,0.626
150211008.0,432000000000.0,17.181,2.581,0.948,1795.338,269.679,99.49,41.66,0.631
152090656.0,459000000000.0,15.739,2.393,0.822,19.567,289.58,99.174,45.83,0.635
154030144.0,486000000000.0,15.27,2.352,0.784,1934.397,297.955,99.212,50.02,0.618
155961312.0,517000000000.0,12.827,2.1,0.64,1991.317,31.568,99.353,54.85,0.604
157830000.0,552000000000.0,18.797,2.967,0.816,2284.473,36.559,99.182,58.98,0.658
159784576.0,591000000000.0,18.592,2.971,0.84,2294.868,366.684,99.193,68.66,0.625
161793968.0,636000000000.0,21.185,3.428,0.893,2353.71,38.713,99.16,73.57,0.604
163683952.0,687000000000.0,18.516,3.31,0.745,2467.254,43.85,99.253,78.75,0.593
10256489.0,91419115520.0,7.784,0.8,0.31,2486.399,254.98,99.969,31.78,2.79
10201212.0,94624129024.0,8.64,0.88,0.36,24298.284,247.873,99.964,28.16,2.62
10135391.0,98263244800.0,8.352,0.85,0.33,2531.589,256.441,99.966,29.76,2.611
10065881.0,104000000000.0,8.67,0.81,0.32,25283.946,254.56,99.969,30.04,2.449
9999713.0,114000000000.0,9.82,0.98,0.34,28499.81,284.983,99.965,32.59,2.49
9935166.0,124000000000.0,1.664,0.16,0.37,28589.795,284.45,99.962,33.15,2.294
9874700.0,135000000000.0,1.372,0.13,0.34,3587.22,32.38,99.964,34.21,2.244
9825990.0,145000000000.0,1.36,0.12,0.35,29984.52,294.627,99.95,34.22,2.038
9787829.0,158000000000.0,11.484,0.113,0.38,3482.755,298.361,99.9,34.75,1.895
9757710.0,156000000000.0,13.167,0.129,0.45,289.853,282.7,99.83,32.95,1.811
9731426.0,166000000000.0,13.12,0.128,0.42,31389.232,35.462,99.743,35.5,1.842
9706983.0,173000000000.0,13.72,0.127,0.43,393.948,299.985,99.751,35.84,1.737
9693754.0,176000000000.0,22.62,0.213,0.66,33469.1,324.441,99.737,36.53,1.848
9691143.0,178000000000.0,41.171,0.399,0.135,3326.1,293.894,99.685,35.98,1.659
9693741.0,181000000000.0,36.891,0.357,0.121,3333.636,294.46,99.696,35.95,1.631
9700609.0,174000000000.0,44.142,0.428,0.16,27428.78,266.76,99.643,34.64,1.535
9708111.0,169000000000.0,66.457,0.645,0.237,27985.992,271.691,99.578,34.58,1.617
9707874.0,173000000000.0,162.289,1.575,0.567,2844.713,275.749,99.237,35.04,1.606
9695573.0,178000000000.0,147.628,1.431,0.466,31491.638,35.33,99.374,35.68,1.722
9959565.0,273000000000.0,12252.7,122.32,19.64,544.441,498.422,8.216,66.57,2.274
9987072.0,279000000000.0,12247.788,122.32,19.27,5227.838,519.66,8.825,69.34,2.307
10016455.0,283000000000.0,12413.772,124.342,19.382,51546.679,516.314,8.485,71.55,2.264
10043738.0,281000000000.0,11922.176,119.743,18.971,5843.378,51.658,8.94,72.31,2.246
10069182.0,290000000000.0,11552.174,116.321,17.521,5434.89,546.85,82.362,75.32,2.286
10095204.0,298000000000.0,11725.8,118.374,17.612,5475.827,552.72,82.235,77.59,2.257
10123230.0,303000000000.0,12219.118,123.698,17.327,5821.7,589.183,82.532,79.33,2.357
10154876.0,315000000000.0,13338.72,135.447,18.779,5761.645,584.938,81.99,81.15,2.293
10188541.0,321000000000.0,12973.7,132.177,17.973,5992.247,62.64,81.87,83.48,2.289
10224223.0,333000000000.0,1376.3,14.132,19.192,57551.993,588.424,8.591,84.22,2.192
10264351.0,346000000000.0,13449.825,138.53,18.572,58793.932,63.482,81.184,87.12,2.15
10309249.0,349000000000.0,1281.461,132.67,17.923,5848.182,62.886,81.819,87.74,2.111
10355569.0,356000000000.0,12927.138,133.868,18.251,57679.593,597.34,81.435,88.53,2.062
10402550.0,359000000000.0,12768.484,132.824,17.439,619.97,626.131,82.24,89.98,2.122
10456164.0,373000000000.0,12638.834,132.153,17.283,617.814,629.156,82.283,90.7,2.053
10516979.0,381000000000.0,12575.44,132.256,17.491,58836.948,618.787,81.837,90.4,1.985
10582970.0,391000000000.0,1223.2,129.43,17.7,58746.125,621.79,81.993,93.23,1.94
10653698.0,405000000000.0,12518.13,133.363,17.468,58365.284,621.86,81.445,93.34,1.886
10726720.0,408000000000.0,1174.327,125.935,16.235,59586.896,639.171,82.396,93.41,1.9
10801357.0,400000000000.0,12242.478,132.236,18.227,53755.442,58.632,8.34,87.83,1.816
10877948.0,412000000000.0,12671.421,137.839,17.826,57141.83,621.577,8.386,93.42,1.876
10955742.0,421000000000.0,12953.848,141.92,19.64,51635.45,565.75,78.285,91.59,1.717
11031140.0,421000000000.0,11283.958,124.475,17.965,519.447,551.772,79.637,91.36,1.645
11103260.0,421000000000.0,1246.442,133.756,18.785,5629.236,562.15,78.953,91.36,1.69
11176727.0,429000000000.0,1158.534,113.539,17.154,47794.756,534.189,8.711,88.54,1.544
11248306.0,435000000000.0,845.949,94.553,14.93,49676.7,558.772,83.284,89.12,1.543
11316837.0,439000000000.0,12427.259,14.637,19.44,49981.286,565.631,78.187,90.14,1.647
11384491.0,448000000000.0,12311.478,14.16,19.159,5345.517,573.158,78.348,90.95,1.634
11448598.0,454000000000.0,9532.815,19.137,15.33,52367.23,599.532,82.584,90.85,1.598
175873712.0,1730000000000.0,56.43,984.964,42.943,7298.462,1283.67,55.963,385.58,1.322
178211888.0,1780000000000.0,4982.873,888.8,39.627,743.452,1324.195,59.93,361.02,1.259
180476688.0,1860000000000.0,5222.425,942.525,41.23,7327.316,1322.41,57.557,376.85,1.237
182629280.0,1900000000000.0,5414.365,988.822,42.251,7192.748,1313.67,56.127,397.09,1.23
184722048.0,2040000000000.0,5572.396,129.345,41.971,7488.627,1383.315,56.45,418.55,1.204
186797344.0,2130000000000.0,574.59,172.228,42.5,7533.96,147.314,55.781,434.76,1.186
188820688.0,2240000000000.0,5847.41,114.43,42.665,766.241,1436.216,55.53,453.09,1.155
190779456.0,2410000000000.0,6262.47,1194.751,43.5,7831.494,1494.88,54.4,476.0,1.142
192672320.0,2560000000000.0,639.57,1215.581,42.475,8216.386,1583.7,55.317,496.9,1.118
194517552.0,2590000000000.0,6576.99,1279.34,44.963,7675.249,1492.97,52.471,498.65,1.1
196353504.0,2820000000000.0,674.49,1323.519,42.228,872.57,178.781,54.518,545.43,1.113
198185296.0,2970000000000.0,6943.729,1376.146,41.997,964.793,1796.58,54.824,563.28,1.105
199977712.0,3020000000000.0,6664.482,1332.748,39.911,9462.931,1892.375,56.67,587.42,1.105
201721776.0,3110000000000.0,6374.439,1285.864,37.22,113.418,238.8,58.993,603.82,1.11
203459648.0,3130000000000.0,621.198,1263.525,35.733,143.514,2122.189,6.17,615.64,1.13
205188208.0,3270000000000.0,6224.38,1277.98,37.86,9782.94,27.344,58.29,605.99,1.053
206859584.0,2890000000000.0,6491.868,1342.96,39.883,8993.517,186.396,55.252,612.19,1.165
208504960.0,2930000000000.0,6448.442,1344.533,39.5,966.893,189.492,55.538,617.51,1.163
210166592.0,2970000000000.0,6856.192,144.942,42.165,8578.166,182.843,52.754,629.12,1.152
8767778.0,79352520704.0,5379.4,47.165,14.538,31623.91,277.271,85.463,45.69,4.089
8721659.0,73266159616.0,5116.894,44.628,17.15,24954.958,217.649,82.984,42.81,3.58
8668545.0,68357816320.0,4485.95,38.879,15.789,2392.783,27.358,84.21,38.15,3.602
8611541.0,68791803904.0,527.957,45.391,17.313,25174.49,216.788,82.688,37.95,3.811
8548469.0,70739017728.0,5597.979,47.854,18.958,2393.597,24.57,81.43,37.91,3.568
8477584.0,73463005184.0,6584.519,55.82,2.548,2546.14,215.839,79.451,41.49,3.698
8401382.0,67407642624.0,7134.468,59.939,22.152,2571.711,21.637,77.848,42.23,4.014
8318965.0,67221577728.0,733.61,58.513,22.813,23797.592,197.971,77.187,39.04,3.815
8234934.0,70098747392.0,6934.963,57.19,23.26,22949.792,188.99,76.795,37.8,3.511
8162298.0,66353733632.0,6494.869,53.13,24.657,19845.815,161.987,75.343,36.02,3.24
8097694.0,70102818816.0,7345.841,59.484,27.355,1958.24,157.972,72.645,35.98,3.102
8034863.0,72164990976.0,7495.411,6.225,26.8,2472.477,164.493,73.21,36.52,3.114
7974804.0,75728076800.0,795.367,63.44,28.732,1969.323,156.381,71.269,35.79,2.898
7917745.0,79961358336.0,7183.81,56.873,24.989,21561.649,17.719,75.11,36.8,2.846
7865314.0,85445484544.0,772.72,55.629,25.244,2944.562,164.735,74.756,35.52,2.579
7815221.0,91870126080.0,8148.988,63.686,26.73,22368.25,174.813,73.297,36.35,2.596
7766040.0,98526781440.0,8413.577,65.34,26.881,22885.752,177.732,73.12,37.74,2.467
7719035.0,106000000000.0,6217.282,47.992,2.397,24262.946,187.287,79.63,38.43,2.217
7674912.0,113000000000.0,6617.546,5.79,21.941,23533.738,18.619,78.28,39.22,2.052
7634737.0,109000000000.0,6712.14,51.245,25.297,1989.925,151.243,74.661,37.26,1.857
7592271.0,111000000000.0,7452.661,56.583,26.8,2316.41,154.248,73.59,37.53,1.905
7543128.0,113000000000.0,7143.871,53.887,24.22,22545.249,17.61,75.811,39.29,1.98
7488347.0,113000000000.0,7472.682,55.958,26.266,2818.84,155.898,73.177,38.17,1.88
7431169.0,114000000000.0,7486.85,55.636,28.194,18849.76,14.76,7.983,36.86,1.727
7372142.0,116000000000.0,8236.49,6.721,28.81,293.494,148.132,7.287,37.46,1.82
7309255.0,120000000000.0,8567.443,62.621,27.945,21744.293,158.935,7.925,38.12,1.869
7245982.0,124000000000.0,887.82,58.64,27.612,2789.48,15.64,7.979,38.19,1.713
7182430.0,128000000000.0,7652.339,54.963,25.339,2216.587,158.779,73.23,39.45,1.692
7117424.0,132000000000.0,8654.226,61.595,28.33,2953.984,149.138,68.53,38.73,1.646
30683316.0,1140000000000.0,41144.425,1262.448,34.61,7683.26,2356.577,64.68,552.59,3.203
31002768.0,1160000000000.0,38422.832,1191.215,33.348,75799.941,235.8,65.788,550.07,3.074
31322400.0,1200000000000.0,39343.565,1232.335,33.367,77547.971,2428.988,65.766,562.62,3.077
